student_ref,first_name,last_name,date_of_birth,fee_status,tuition_fee_amount,bursary_flag,payment_status,enrolment_status,academic_year
FIN00001,Henry,Ali,1990-12-10,H,9250,N,Outstanding,Enrolled,2025/26
FIN00002,Ava,Kaur,2006-05-18,H,9250,Y,Partial,Enrolled,2025/26
FIN00003,Reuben,Conti,1991-06-05,O,21000,Y,Paid,Enrolled,2025/26
FIN00004,Dylan,Nielsen,2000-02-25,O,21000,N,Paid,Enrolled,2025/26
FIN00005,Adam,Fontana,1990-06-12,H,9250,N,Paid,Enrolled,2025/26
FIN00006,Millie,Jackson,1995-07-02,O,15000,N,Partial,Deferred,2025/26
FIN00007,William,Sharma,1999-02-27,H,9250,N,Paid,Enrolled,2025/26
FIN00008,Niall,Hassan,1994-05-09,O,24000,N,Paid,Enrolled,2025/26
FIN00009,Thomas,McCarthy,1991-01-09,O,15000,Y,Outstanding,Enrolled,2025/26
FIN00010,Roisin,Osei,2003-12-16,H,9250,N,Partial,Suspended,2025/26
FIN00011,George,Costa,1996-09-09,H,9250,N,Partial,Inactive,2025/26
FIN00012,Jack,Bianchi,1996-01-03,H,9250,Y,Paid,Enrolled,2025/26
FIN00013,Thomas,Watson,1993-06-14,O,21000,N,Paid,Enrolled,2025/26
FIN00014,Nathan,Petersen,1994-10-05,O,15000,N,Partial,Enrolled,2025/26
FIN00015,Kate,Osei,2001-07-01,H,9250,N,Paid,Enrolled,2025/26
FIN00016,Hassan,Howard,2004-06-03,H,9250,N,Paid,Enrolled,2025/26
FIN00017,Ava,Hussain,1999-03-23,H,9250,N,Outstanding,Enrolled,2025/26
FIN00018,Natalie,Price,1991-05-13,O,21000,Y,Paid,Enrolled,2025/26
FIN00019,Maya,Jackson,1993-11-21,O,15000,N,Paid,Enrolled,2025/26
FIN00020,Ellis,Williams,1991-01-06,H,9250,N,Paid,Enrolled,2025/26
FIN00021,Sarah,Yusuf,2007-11-19,H,9250,N,Paid,Enrolled,2025/26
FIN00022,Arjun,Chen,2005-07-23,H,9250,N,Paid,Enrolled,2025/26
FIN00023,Phoebe,Yusuf,1997-06-19,H,9250,N,Outstanding,Enrolled,2025/26
FIN00024,Olivia,Shah,2006-05-27,H,9250,N,Paid,Enrolled,2025/26
FIN00025,Hannah,Edwards,1991-02-02,H,9250,N,Paid,Suspended,2025/26
FIN00026,Roisin,Lee,2002-02-15,H,9250,N,Paid,Enrolled,2025/26
FIN00027,Zara,Mahmood,2003-09-19,H,9250,N,Paid,Enrolled,2025/26
FIN00028,Phoebe,Kumar,2006-07-04,O,18000,N,Outstanding,Enrolled,2025/26
FIN00029,Layla,Romano,2001-12-29,H,9250,N,Paid,Enrolled,2025/26
FIN00030,Laura,Kumar,1995-01-04,H,9250,N,Partial,Enrolled,2025/26
FIN00031,Kieran,Reid,1990-09-07,H,9250,N,Paid,Enrolled,2025/26
FIN00032,William,Omar,2003-08-27,O,9250,N,Paid,Enrolled,2025/26
FIN00033,Lily,Patel,2007-06-05,O,18000,N,Paid,Enrolled,2025/26
FIN00034,Niamh,Kumar,1996-03-27,O,24000,N,Paid,Enrolled,2025/26
FIN00035,Freya,White,2006-10-01,H,9250,N,Paid,Enrolled,2025/26
FIN00036,Leon,Islam,1991-07-21,H,9250,N,Paid,Suspended,2025/26
FIN00037,Nadia,Evans,1994-10-08,H,9250,N,Paid,Enrolled,2025/26
FIN00038,Sebastian,Price,1996-01-14,O,24000,N,Paid,Enrolled,2025/26
FIN00039,Noah,Jackson,2004-12-25,O,18000,N,Paid,Deferred,2025/26
FIN00040,Kai,Hussein,2002-12-22,O,24000,N,Outstanding,Enrolled,2025/26
FIN00041,Rhys,Nielsen,1990-04-10,H,9250,N,Paid,Enrolled,2025/26
FIN00042,Edward,Warsame,2003-02-05,H,9250,N,Paid,Enrolled,2025/26
FIN00043,Niamh,Walker,2007-04-11,H,9250,N,Paid,Enrolled,2025/26
FIN00044,Sophia,Cox,1999-09-20,O,24000,N,Paid,Enrolled,2025/26
FIN00045,Jasmine,Reid,2004-04-23,O,18000,N,Paid,Enrolled,2025/26
FIN00046,Yasmin,Evans,1991-06-27,H,9250,N,Paid,Enrolled,2025/26
FIN00047,Chloe,Graham,2003-08-16,H,9250,N,Outstanding,Enrolled,2025/26
FIN00048,Alfie,Kumar,2000-09-01,H,9250,Y,Outstanding,Enrolled,2025/26
FIN00049,Isabella,Ibrahim,2003-05-18,O,21000,N,Partial,Enrolled,2025/26
FIN00050,Kate,Ross,2000-11-15,H,9250,N,Paid,Enrolled,2025/26
FIN00051,Toby,Mohamed,2002-12-01,H,9250,N,Paid,Enrolled,2025/26
FIN00052,Sophia,Petersen,2000-12-03,H,9250,N,Paid,Enrolled,2025/26
FIN00053,Luke,Abdi,1993-01-10,O,21000,N,Paid,Enrolled,2025/26
FIN00054,Freya,Kaur,1996-02-13,H,9250,N,Paid,Enrolled,2025/26
FIN00055,Felix,Roberts,1997-07-20,H,9250,N,Partial,Enrolled,2025/26
FIN00056,Phoebe,Doherty,1993-06-06,H,9250,N,Outstanding,Enrolled,2025/26
FIN00057,Pippa,Cox,2002-06-15,H,9250,N,Outstanding,Enrolled,2025/26
FIN00058,Joel,Stewart,1996-01-11,H,9250,N,Partial,Enrolled,2025/26
FIN00059,Daniel,Diallo,1992-06-16,H,9250,N,Partial,Inactive,2025/26
FIN00060,Jude,Ng,1994-09-15,O,18000,Y,Paid,Enrolled,2025/26
FIN00061,Leon,Murphy,1998-02-18,H,9250,N,Outstanding,Enrolled,2025/26
FIN00062,Ryan,Kim,1998-09-24,H,9250,N,Paid,Enrolled,2025/26
