lms_id,username,programme,modules_enrolled,last_login_date,account_status
s00001,hali3999589@university.ac.uk,Psychology (BSc),5,2026-04-15,Active
s00002,akaur9820032@university.ac.uk,Psychology (BSc),8,2026-04-24,Active
s00003,rconti5112321@university.ac.uk,Business Management BSc,8,2026-04-07,Active
s00004,dnielsen3364289@university.ac.uk,Civil Engineering MEng,5,2026-04-16,Active
s00005,afontana1206747@university.ac.uk,Computer Science BSc,7,2026-04-07,Active
s00007,wsharma5511637@university.ac.uk,Civil Engineering MEng,5,2026-04-15,Active
s00008,nhassan5389577@university.ac.uk,Nursing BSc,6,2026-04-12,Active
s00009,tmccarthy1538566@university.ac.uk,Business Management BSc,6,2026-04-29,Active
s00010,rosei9650987@university.ac.uk,MBA,4,,Inactive
s00011,gcosta4460064@university.ac.uk,MBA,4,,Inactive
s00012,jbianchi6021492@university.ac.uk,Computer Science BSc,6,2026-04-07,Active
s00013,twatson6129659@university.ac.uk,Psychology (BSc),5,2026-04-02,Active
s00014,npetersen9160293@university.ac.uk,History BA,4,2026-04-18,Active
s00015,kosei5828896@university.ac.uk,Nursing BSc,5,2026-04-04,Active
s00016,hhoward5298470@university.ac.uk,MBA,4,2026-04-21,Active
s00017,ahussain9918706@university.ac.uk,Computer Science BSc,8,2026-04-10,Active
s00018,nprice8320567@university.ac.uk,Computer Science BSc,5,2026-04-20,Active
s00020,ewilliams8090792@university.ac.uk,Psychology (BSc),6,2026-04-11,Active
s00021,syusuf4781764@university.ac.uk,Civil Engineering MEng,6,2026-04-29,Active
s00022,achen3877420@university.ac.uk,History BA,4,2026-04-18,Active
s00023,pyusuf3422392@university.ac.uk,Mathematics BSc,5,2026-04-23,Active
s00024,oshah7542214@university.ac.uk,MBA,7,2026-04-06,Active
s00025,hedwards9257249@university.ac.uk,History BA,6,,Inactive
s00026,rlee3021729@university.ac.uk,Business Management BSc,6,2026-04-07,Active
s00027,zmahmood4230615@university.ac.uk,Psychology (BSc),5,2026-04-23,Active
s00028,pkumar5382040@university.ac.uk,MBA,5,2026-04-06,Active
