student_id,first_name,last_name,date_of_birth,nationality,domicile,programme_code,programme_name,enrolment_status,fee_status,enrolment_date,expected_end_date
SRS00001,Henry,Ali,1990-12-10,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2025-09-15,2029-06-30
SRS00002,Ava,Kaur,2006-05-18,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2023-09-23,2027-06-30
SRS00003,Reuben,Conti,1991-06-05,IND,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2022-09-23,2025-06-30
SRS00004,Dylan,Nielsen,2000-02-25,CHN,Overseas,MENG_CIVIL,MEng Civil Engineering,Active,Overseas,2022-09-15,2025-06-30
SRS00005,Adam,Fontana,1990-06-12,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2024-09-19,2027-06-30
SRS00006,Millie,Jackson,1995-07-02,CHN,Overseas,MSC_DATA,MSc Data Science,Deferred,Overseas,2025-09-27,2028-06-30
SRS00007,William,Sharma,1999-02-27,GBR,England,MENG_CIVIL,MEng Civil Engineering,Active,Home,2023-09-28,2026-06-30
SRS00008,Niall,Hassan,1994-05-09,PAK,Overseas,BSC_NURS,BSc Nursing,Active,Overseas,2024-09-20,2028-06-30
SRS00009,Thomas,McCarthy,1991-01-09,CHN,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2025-09-19,2029-06-30
SRS00010,Roisin,Osei,2003-12-16,GBR,England,MBA,MBA Business Administration,Suspended,Home,2022-09-20,2026-06-30
SRS00011,George,Costa,1996-09-09,GBR,England,MBA,MBA Business Administration,Withdrawn,Home,2025-09-23,2028-06-30
SRS00012,Jack,Bianchi,1996-01-03,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2024-09-24,2028-06-30
SRS00013,Thomas,Watson,1993-06-14,ZWE,Overseas,BSC_PSYCH,BSc Psychology,Active,Overseas,2023-09-27,2026-06-30
SRS00014,Nathan,Petersen,1994-10-05,CHN,Overseas,BA_HIST,BA History,Active,Overseas,2025-09-28,2029-06-30
SRS00015,Kate,Osei,2001-07-01,GBR,Northern Ireland,BSC_NURS,BSc Nursing,Active,Home,2025-09-28,2029-06-30
SRS00016,Hassan,Howard,2004-06-03,GBR,England,MBA,MBA Business Administration,Active,Home,2025-09-24,2029-06-30
SRS00017,Ava,Hussain,1999-03-23,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2025-09-30,2028-06-30
SRS00018,Natalie,Price,1991-05-13,PAK,Overseas,BSC_COMPSCI,BSc Computer Science,Active,Overseas,2023-09-27,2027-06-30
SRS00019,Maya,Jackson,1993-11-21,IND,Overseas,BSC_MATHS,BSc Mathematics,Active,Overseas,2025-09-21,2028-06-30
SRS00020,Ellis,Williams,1991-01-06,,Wales,BSC_PSYCH,BSc Psychology,Active,Home,2022-09-17,2025-06-30
SRS00021,Sarah,Yusuf,2007-11-19,GBR,England,MENG_CIVIL,MEng Civil Engineering,Active,Home,2023-09-21,2027-06-30
SRS00022,Arjun,Chen,2005-07-23,GBR,Scotland,BA_HIST,BA History,Active,Home,2023-09-19,2026-06-30
SRS00023,Phoebe,Yusuf,1997-06-19,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2025-09-19,2028-06-30
SRS00024,Olivia,Shah,2006-05-27,GBR,Scotland,MBA,MBA Business Administration,Active,Home,2022-09-29,2026-06-30
SRS00025,Hannah,Edwards,1991-02-02,GBR,England,BA_HIST,BA History,Suspended,Home,2022-09-20,2025-06-30
SRS00026,Roisin,Lee,2002-02-15,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2025-09-30,2028-06-30
SRS00027,Zara,Mahmood,2003-09-19,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2022-09-27,2026-06-30
SRS00028,Phoebe,Kumar,2006-07-04,ZWE,Overseas,MBA,MBA Business Administration,Active,Overseas,2022-09-24,2025-06-30
SRS00029,Layla,Romano,2001-12-29,GBR,Scotland,BSC_COMPSCI,BSc Computer Science,Active,Home,2024-09-18,2028-06-30
SRS00030,Laura,Kumar,1995-01-04,GBR,England,MBA,MBA Business Administration,Active,Home,2024-09-18,2027-06-30
SRS00031,Kieran,Reid,1990-09-07,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2024-09-29,2028-06-30
